Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
98,Marquese Chriss\chrisma01,PF,19,Phoenix Suns,78,1647,12.2,.529,.358,.283,5.9,15.8,10.7,4.9,1.8,3.2,13.2,19.7,,0.3,1.4,1.7,.049,,-1.7,0.0,-1.8,0.1
99,Rakeem Christmas\chrisra01,PF,25,Indiana Pacers,25,217,10.4,.528,.000,.628,13.5,15.3,14.4,2.6,0.7,2.4,12.7,13.0,,0.3,0.2,0.4,.096,,-3.1,-1.1,-4.2,-0.1
100,Semaj Christon\chrisse01,PG,24,Oklahoma City Thunder,58,840,5.5,.378,.270,.148,2.3,7.8,5.0,18.7,1.5,0.6,16.7,12.7,,-0.8,0.7,-0.1,-0.005,,-5.4,-1.3,-6.7,-1.0
101,Ian Clark\clarkia01,SG,25,Golden State Warriors,72,1028,13.9,.591,.378,.140,2.3,9.0,5.8,11.0,1.7,0.5,10.5,19.5,,1.1,1.2,2.3,.109,,-0.1,-1.6,-1.7,0.1
102,Jordan Clarkson\clarkjo01,SG,24,Los Angeles Lakers,77,2250,13.1,.525,.329,.158,2.2,9.0,5.5,14.2,1.9,0.3,12.5,23.3,,0.4,0.5,1.0,.020,,-0.5,-2.4,-2.9,-0.5
103,Norris Cole\coleno01,PG,28,Oklahoma City Thunder,9,68,2.6,.364,.179,.071,0.0,8.1,4.1,21.4,2.2,0.0,19.5,22.4,,-0.2,0.1,-0.2,-0.116,,-9.0,-2.9,-11.9,-0.2
104,Darren Collison\collida01,PG,29,Sacramento Kings,67,2035,15.2,.568,.244,.237,1.3,7.1,4.2,24.3,1.6,0.4,12.3,19.8,,3.1,0.7,3.8,.090,,0.8,-2.4,-1.6,0.2
105,Nick Collison\collini01,PF,36,Oklahoma City Thunder,16,96,13.3,.696,.000,.615,7.0,16.2,11.6,14.4,1.0,1.7,15.4,8.6,,0.2,0.1,0.3,.162,,-1.3,0.3,-1.0,0.0
106,Mike Conley\conlemi01,PG,29,Memphis Grizzlies,65,2185,22.9,.598,.414,.373,1.6,10.9,6.1,34.4,2.1,0.8,11.6,26.2,,7.0,2.4,9.4,.206,,6.3,-0.6,5.7,4.2
107,Pat Connaughton\connapa01,SG,24,Portland Trailblazers,35,234,10.0,.608,.404,.191,4.3,13.3,8.8,10.1,1.1,0.7,19.1,11.8,,0.2,0.1,0.3,.067,,-2.0,-1.2,-3.2,-0.1
108,Quinn Cook\cookqu01,PG,23,TOT,10,90,9.9,.567,.600,.067,0.0,5.3,2.5,25.9,1.1,0.0,20.6,20.3,,0.0,0.0,0.0,.014,,-2.1,-4.2,-6.2,-0.1
109,Quinn Cook\cookqu01,PG,23,Dallas Mavericks,5,77,6.9,.522,.560,.080,0.0,4.8,2.3,25.7,0.7,0.0,23.6,20.8,,-0.1,0.0,-0.1,-0.044,,-4.1,-4.5,-8.7,-0.1
110,Quinn Cook\cookqu01,PG,23,New Orleans Pelicans,5,13,27.5,.800,.800,.000,0.0,8.1,4.0,27.0,3.8,0.0,0.0,17.1,,0.1,0.0,0.1,.354,,10.1,-2.1,8.0,0.0
111,DeMarcus Cousins\couside01,C,26,TOT,71,2429,25.7,.562,.252,.470,6.9,29.4,18.2,25.7,2.0,3.4,13.6,36.6,,3.7,3.8,7.4,.147,,3.8,2.7,6.5,5.2
112,DeMarcus Cousins\couside01,C,26,Sacramento Kings,55,1891,26.6,.562,.239,.491,7.1,28.6,17.9,27.6,2.0,3.5,13.2,37.6,,3.4,2.6,6.0,.152,,4.6,2.6,7.1,4.3
113,DeMarcus Cousins\couside01,C,26,New Orleans Pelicans,16,538,22.8,.564,.299,.388,6.4,32.5,19.5,19.1,2.2,3.1,15.0,33.0,,0.3,1.1,1.4,.129,,1.2,3.0,4.3,0.8
114,Robert Covington\covinro01,SF,26,Philadelphia 76ers,67,2119,13.2,.534,.563,.238,4.8,17.8,11.3,7.5,2.9,2.6,13.9,19.2,,0.0,3.2,3.2,.073,,-0.7,2.1,1.5,1.9
115,Allen Crabbe\crabbal01,SG,24,Portland Trailblazers,76,2166,11.2,.597,.465,.194,1.0,10.1,5.5,5.9,1.1,0.7,8.2,14.8,,2.8,0.9,3.7,.082,,0.1,-1.5,-1.4,0.3
116,Jamal Crawford\crawfja01,SG,36,Los Angeles Clippers,78,2060,11.9,.523,.370,.231,0.9,5.8,3.4,15.3,1.4,0.6,12.5,22.9,,0.3,1.2,1.6,.037,,-1.1,-2.1,-3.1,-0.6
117,Jordan Crawford\crawfjo02,SG,28,New Orleans Pelicans,14,322,17.8,.596,.493,.125,1.3,7.9,4.6,21.5,0.9,0.5,8.6,24.1,,0.6,0.2,0.9,.129,,3.2,-3.0,0.3,0.2
118,Jae Crowder\crowdja01,SF,26,Boston Celtics,67,2173,14.7,.607,.552,.307,2.2,17.5,9.9,9.8,1.5,0.8,8.8,17.0,,3.8,2.3,6.1,.135,,1.2,0.1,1.3,1.8
119,Dante Cunningham\cunnida01,SF,29,New Orleans Pelicans,61,1541,9.9,.574,.503,.080,3.6,14.1,8.8,3.2,1.1,1.4,7.2,10.8,,1.1,1.6,2.8,.086,,-1.6,0.8,-0.8,0.5
120,Seth Curry\curryse01,PG,26,Dallas Mavericks,70,2029,15.5,.601,.458,.142,1.4,9.2,5.1,15.9,2.0,0.3,11.0,19.6,,2.9,1.8,4.7,.112,,1.8,-0.4,1.4,1.8
121,Stephen Curry\curryst01,PG,28,Golden State Warriors,75,2515,24.3,.623,.546,.250,2.7,11.4,7.3,30.6,2.6,0.4,13.0,29.9,,8.1,3.7,11.8,.226,,7.6,-0.5,7.0,5.7
122,Troy Daniels\danietr01,SG,25,Memphis Grizzlies,62,1094,10.9,.537,.728,.114,1.8,7.7,4.6,6.5,1.0,0.3,7.6,21.8,,0.6,0.7,1.4,.059,,0.7,-3.4,-2.8,-0.2
123,Anthony Davis\davisan02,C,23,New Orleans Pelicans,73,2643,27.5,.581,.086,.435,6.7,28.1,17.4,11.5,1.7,5.0,9.3,32.4,,5.9,5.2,11.1,.202,,1.5,2.5,4.0,4.0
124,Deyonta Davis\davisde01,C,20,Memphis Grizzlies,33,212,11.3,.550,.000,.419,9.4,21.7,15.3,1.5,0.2,7.2,13.6,12.6,,0.1,0.3,0.5,.102,,-5.5,1.6,-4.0,-0.1
125,Ed Davis\davised01,PF,27,Portland Trailblazers,46,789,11.5,.563,.000,.570,13.5,20.7,17.1,4.7,0.9,2.2,17.2,12.0,,1.0,0.7,1.7,.103,,-2.2,0.1,-2.1,0.0
126,Dewayne Dedmon\dedmode01,C,27,San Antonio Spurs,70,1220,16.3,.676,.000,.366,10.4,30.7,20.8,4.7,1.5,3.8,17.5,12.1,,2.2,2.8,5.0,.196,,-1.3,3.3,2.1,1.3
127,Sam Dekker\dekkesa01,SF,22,Houston Rockets,77,1419,13.1,.549,.436,.159,7.3,14.7,11.0,7.7,1.3,1.2,8.2,14.9,,1.9,1.3,3.2,.107,,-0.3,-0.6,-0.9,0.4
128,Malcolm Delaney\delanma01,PG,27,Atlanta Hawks,69,1174,7.2,.450,.276,.230,1.0,9.8,5.5,22.5,1.6,0.1,18.3,18.3,,-1.3,1.2,-0.1,-0.003,,-4.8,-1.1,-6.0,-1.2
129,Matthew Dellavedova\dellama01,PG,26,Milwaukee Bucks,72,1893,9.5,.502,.401,.187,1.3,7.2,4.3,26.0,1.4,0.0,19.0,16.2,,0.4,0.8,1.2,.030,,-1.8,-2.9,-4.7,-1.3
130,Luol Deng\denglu01,SF,31,Los Angeles Lakers,56,1486,10.1,.469,.386,.148,4.5,17.6,10.8,7.1,1.6,1.1,8.7,14.2,,0.1,0.7,0.8,.025,,-2.3,-0.3,-2.6,-0.2
131,DeMar DeRozan\derozde01,SG,27,Toronto Raptors,70,2478,24.1,.552,.082,.416,3.1,13.9,8.5,20.7,1.5,0.4,8.8,34.1,,6.5,2.2,8.7,.168,,2.5,-1.5,1.0,1.9
132,Cheick Diallo\diallch01,PF,20,New Orleans Pelicans,13,104,14.6,.435,.000,.222,13.1,21.3,17.2,4.6,1.4,2.4,3.9,21.9,,0.0,0.2,0.1,.067,,-5.1,-1.1,-6.2,-0.1
133,Boris Diaw\diawbo01,PF,34,Utah Jazz,68,1192,8.7,.496,.252,.100,4.4,9.3,6.9,19.7,0.7,0.5,20.7,15.9,,-0.2,1.1,0.9,.036,,-2.8,-0.3,-3.1,-0.3
134,Gorgui Dieng\dienggo01,PF,27,Minnesotta Timberwolves,75,2417,14.2,.553,.067,.250,8.2,20.6,14.3,8.4,1.7,3.1,12.7,14.3,,2.8,2.4,5.2,.104,,-0.6,2.2,1.6,2.2
135,Spencer Dinwiddie\dinwisp01,PG,23,Brooklyn Nets,54,1210,12.1,.565,.320,.520,2.0,10.8,6.5,20.1,1.5,1.4,15.1,14.1,,1.5,0.8,2.3,.091,,-1.2,-0.1,-1.3,0.2
136,Toney Douglas\douglto01,PG,30,Memphis Grizzlies,24,394,10.6,.451,.359,.248,3.7,14.4,8.8,22.2,2.4,1.2,13.9,17.3,,0.0,0.5,0.5,.060,,-2.2,1.0,-1.2,0.1
137,Goran Dragic\dragigo01,PG,30,Miami Heat,68,2276,19.9,.576,.262,.336,2.7,10.0,6.3,29.7,1.8,0.4,14.2,27.0,,4.7,2.4,7.1,.150,,3.5,-0.7,2.8,2.7
138,Andre Drummond\drumman01,C,23,Detroit Pistons,76,2286,21.1,.521,.008,.389,14.9,36.5,25.3,5.9,2.7,3.2,12.6,22.6,,1.3,5.1,6.4,.135,,-2.1,3.0,0.9,1.7
139,Jared Dudley\dudleja01,PF,31,Phoenix Suns,61,1293,10.3,.571,.593,.194,2.5,15.8,9.0,12.1,1.5,1.0,16.2,13.6,,0.9,0.7,1.6,.061,,-0.4,0.0,-0.4,0.5
140,Mike Dunleavy\dunlemi02,SF,36,TOT,48,765,9.2,.564,.617,.181,2.3,12.9,7.8,8.5,0.8,0.4,11.5,13.5,,0.6,0.6,1.2,.072,,-1.5,-1.2,-2.7,-0.1
141,Mike Dunleavy\dunlemi02,SF,36,Cleveland Cavaliers,23,366,7.7,.539,.633,.211,1.6,12.2,7.1,7.5,0.8,0.4,12.5,13.7,,0.1,0.2,0.3,.041,,-2.0,-1.7,-3.7,-0.2
142,Mike Dunleavy\dunlemi02,SF,36,Atlanta Hawks,25,399,10.6,.586,.602,.155,3.1,13.6,8.4,9.4,0.9,0.4,10.6,13.4,,0.5,0.4,0.8,.101,,-0.9,-0.8,-1.8,0.0
143,Kris Dunn\dunnkr01,PG,22,Minnesotta Timberwolves,71,1222,8.5,.446,.245,.206,2.2,13.1,7.6,18.5,3.0,2.4,20.8,14.3,,-1.0,1.3,0.3,.013,,-3.6,1.7,-1.8,0.1
144,Kevin Durant\duranke01,SF,28,Golden State Warriors,59,1980,27.7,.651,.301,.378,2.2,23.4,13.5,22.9,1.6,3.9,10.4,27.9,,7.6,3.8,11.4,.278,,5.5,2.6,8.1,5.1
145,Jarell Eddie\eddieja01,SF,25,Phoenix Suns,5,62,9.7,.523,.842,.474,1.7,10.9,6.2,0.0,0.8,0.0,4.2,16.2,,0.1,0.0,0.1,.055,,-1.6,-5.8,-7.4,-0.1
146,Henry Ellenson\ellenhe01,PF,20,Detroit Pistons,15,57,4.9,.448,.609,.043,3.7,19.8,11.5,10.3,0.0,0.0,20.4,22.9,,-0.2,0.0,-0.1,-0.089,,-5.9,-2.7,-8.6,-0.1
147,Wayne Ellington\ellinwa01,SG,29,Miami Heat,57,1393,12.4,.557,.697,.079,1.4,8.2,4.8,6.9,1.2,0.2,5.1,18.1,,1.8,1.1,2.9,.098,,1.5,-2.0,-0.5,0.5
148,Monta Ellis\ellismo01,SG,31,Indiana Pacers,69,1876,10.1,.517,.237,.232,1.1,10.4,5.8,17.5,1.8,1.1,17.7,17.0,,-0.5,1.5,1.0,.025,,-2.5,-0.1,-2.6,-0.3
149,Joel Embiid\embiijo01,C,22,Philadelphia 76ers,31,786,24.1,.584,.228,.569,8.6,25.4,17.0,16.0,1.7,7.7,17.9,36.0,,0.5,1.5,1.9,.119,,0.0,3.3,3.3,1.1
150,James Ennis\ennisja01,SF,26,Memphis Grizzlies,61,1446,10.6,.582,.425,.345,5.1,14.7,9.7,6.5,1.5,1.3,13.7,13.1,,1.4,1.6,3.1,.101,,-1.0,1.0,0.0,0.7
151,Tyler Ennis\ennisty01,PG,22,TOT,48,435,10.1,.496,.308,.119,2.5,8.2,5.3,22.1,2.3,0.0,18.1,20.0,,-0.1,0.2,0.1,.015,,-2.9,-2.5,-5.4,-0.4
152,Tyler Ennis\ennisty01,PG,22,Houston Rockets,31,196,4.0,.444,.250,.047,2.2,8.4,5.3,24.5,1.5,0.0,26.9,19.3,,-0.4,0.1,-0.2,-0.058,,-6.7,-2.7,-9.5,-0.4
153,Tyler Ennis\ennisty01,PG,22,Los Angeles Lakers,17,239,15.1,.529,.347,.168,2.6,8.0,5.2,20.1,3.1,0.0,11.3,20.6,,0.3,0.1,0.4,.075,,0.2,-2.3,-2.1,0.0
154,Tyreke Evans\evansty01,SG,27,TOT,38,740,16.3,.508,.322,.246,1.6,17.5,9.6,26.4,2.2,1.1,12.6,27.3,,0.0,0.9,0.9,.056,,-0.4,-0.1,-0.5,0.3
155,Tyreke Evans\evansty01,SG,27,New Orleans Pelicans,26,474,15.9,.491,.308,.256,1.3,17.8,9.5,31.6,2.4,0.7,13.4,27.3,,-0.1,0.7,0.6,.056,,-0.5,0.5,0.0,0.2
156,Tyreke Evans\evansty01,SG,27,Sacramento Kings,12,266,17.0,.538,.346,.231,2.2,16.9,9.6,17.3,1.9,1.7,11.2,27.5,,0.1,0.2,0.3,.057,,-0.1,-1.3,-1.4,0.0
157,Dante Exum\exumda01,PG,21,Utah Jazz,61,1113,8.9,.528,.398,.208,3.0,9.3,6.2,14.1,0.8,0.8,16.4,18.2,,0.1,1.1,1.3,.055,,-1.9,-0.6,-2.5,-0.1
158,Kenneth Faried\farieke01,PF,27,Denver Nuggets,58,1256,20.6,.590,.015,.458,15.8,23.9,19.9,6.0,1.6,2.5,10.4,18.3,,3.3,1.1,4.4,.169,,0.9,-0.2,0.7,0.9
159,Jordan Farmar\farmajo01,PG,30,Sacramento Kings,2,35,14.4,.500,.750,.000,3.3,6.6,5.0,38.8,2.9,0.0,20.0,19.4,,0.0,0.0,0.0,.063,,0.7,-3.8,-3.1,0.0
160,Derrick Favors\favorde01,PF,25,Utah Jazz,47,1134,15.6,.511,.023,.270,8.9,20.6,14.8,7.7,1.9,2.9,11.3,20.4,,0.5,2.1,2.6,.109,,-2.6,2.4,-0.2,0.5
161,Kay Felder\feldeka01,PG,21,Cleveland Cavaliers,41,379,10.7,.459,.142,.316,0.9,10.4,5.8,21.4,2.2,1.5,14.5,24.3,,-0.4,0.3,0.0,-0.003,,-5.2,-1.3,-6.5,-0.4
162,Cristiano Felicio\feliccr01,C,24,Chicago Bulls,62,988,15.4,.600,.000,.432,13.1,19.4,16.2,5.7,1.2,1.2,11.2,12.6,,2.0,1.1,3.1,.151,,-0.5,0.3,-0.3,0.4
163,Raymond Felton\feltora01,PG,32,Los Angeles Clippers,76,1626,10.9,.496,.283,.130,2.3,11.8,7.2,16.2,2.0,1.1,13.4,16.6,,0.1,1.6,1.8,.052,,-1.8,0.8,-1.0,0.4
164,Yogi Ferrell\ferreyo01,PG,23,TOT,40,1021,13.5,.549,.452,.238,1.8,9.2,5.4,22.7,1.9,0.6,14.4,19.0,,0.9,0.9,1.8,.085,,0.2,-0.5,-0.3,0.4
165,Yogi Ferrell\ferreyo01,PG,23,Brooklyn Nets,10,151,6.6,.482,.551,.327,2.8,5.5,4.2,16.9,0.6,1.0,20.0,19.9,,-0.2,0.0,-0.2,-0.049,,-4.0,-3.2,-7.2,-0.2
166,Yogi Ferrell\ferreyo01,PG,23,Dallas Mavericks,30,870,14.7,.562,.434,.223,1.7,9.9,5.6,23.7,2.2,0.5,13.3,18.9,,1.1,0.8,2.0,.108,,0.9,-0.1,0.8,0.6
167,Dorian Finney-Smith\finnedo01,PF,23,Dallas Mavericks,75,1480,7.8,.510,.596,.206,3.3,12.4,7.6,5.7,1.6,1.3,11.6,11.3,,0.1,1.4,1.5,.050,,-2.5,1.2,-1.3,0.3
168,Bryn Forbes\forbebr01,SG,23,San Antonio Spurs,31,202,4.7,.442,.500,.048,1.2,8.2,4.8,7.7,0.3,0.0,7.3,15.3,,-0.1,0.2,0.0,.011,,-3.7,-2.3,-6.1,-0.2
169,Evan Fournier\fournev01,SG,24,Orlando Magic,64,2113,13.8,.550,.382,.292,2.2,8.5,5.3,15.0,1.5,0.1,12.0,23.6,,1.4,1.1,2.5,.058,,0.7,-2.0,-1.3,0.4
170,Randy Foye\foyera01,SG,33,Brooklyn Nets,64,1203,7.5,.520,.612,.181,0.8,12.2,6.6,15.4,1.1,0.6,19.2,14.5,,-0.4,0.6,0.2,.010,,-2.9,-1.0,-3.9,-0.6
171,Tim Frazier\fraziti01,PG,26,New Orleans Pelicans,61,1439,12.5,.510,.313,.300,2.4,9.7,6.0,31.6,1.8,0.3,18.4,16.4,,1.0,1.4,2.4,.080,,-1.4,-0.7,-2.1,0.0
172,Channing Frye\fryech01,C,33,Cleveland Cavaliers,68,1281,14.9,.603,.645,.134,2.8,18.8,11.1,5.2,1.0,2.1,9.0,19.4,,1.9,1.2,3.0,.114,,0.6,-1.6,-1.1,0.3
173,Danilo Gallinari\gallida01,SF,28,Denver Nuggets,59,1984,17.2,.616,.424,.533,2.1,14.6,8.4,9.0,1.0,0.6,8.2,19.8,,5.6,0.5,6.2,.149,,2.7,-2.0,0.7,1.4
174,Langston Galloway\gallola01,PG,25,TOT,69,1343,10.4,.508,.581,.111,1.9,9.0,5.5,8.6,1.6,0.4,6.7,18.8,,0.1,1.1,1.2,.044,,-0.8,-1.5,-2.3,-0.1
175,Langston Galloway\gallola01,PG,25,New Orleans Pelicans,55,1120,11.2,.508,.608,.118,1.9,9.5,5.7,8.9,1.8,0.4,5.7,19.5,,0.2,1.1,1.3,.055,,-0.3,-1.3,-1.6,0.1
176,Langston Galloway\gallola01,PG,25,Sacramento Kings,14,223,6.8,.510,.397,.063,2.1,6.7,4.4,7.4,0.9,0.4,13.4,15.2,,-0.1,0.0,-0.1,-0.012,,-3.3,-2.6,-6.0,-0.2
177,Marc Gasol\gasolma01,C,32,Memphis Grizzlies,69,2385,20.2,.553,.230,.290,2.7,18.4,10.3,24.4,1.3,3.7,11.0,26.4,,4.0,3.2,7.2,.146,,2.1,2.1,4.2,3.7
178,Pau Gasol\gasolpa01,C,36,San Antonio Spurs,59,1509,20.2,.581,.166,.304,7.6,26.0,17.1,15.3,0.8,3.5,10.8,21.3,,3.1,2.8,6.0,.190,,1.1,2.8,3.9,2.3
179,Rudy Gay\gayru01,SF,30,Sacramento Kings,30,1013,17.9,.559,.256,.312,4.0,17.6,10.9,14.0,2.2,2.3,12.8,25.8,,0.8,1.0,1.8,.086,,0.3,0.4,0.7,0.7
180,Michael Gbinije\gbinimi01,SG,24,Detroit Pistons,9,32,-2.1,.184,.400,.200,6.6,3.5,5.1,7.9,0.0,0.0,0.0,15.1,,-0.1,0.0,-0.1,-0.137,,-7.8,-2.9,-10.7,-0.1
181,Alonzo Gee\geeal01,SF,29,Denver Nuggets,13,89,3.0,.306,.214,.643,5.0,12.5,8.7,8.2,2.8,0.9,18.2,10.5,,-0.1,0.1,-0.1,-0.037,,-5.5,0.9,-4.6,-0.1
182,Paul George\georgpa01,SF,26,Indiana Pacers,70,2499,19.5,.579,.363,.283,2.4,17.6,10.1,16.1,2.2,0.9,12.9,28.8,,3.1,2.8,5.8,.112,,2.5,-0.4,2.1,2.6
183,Jonathan Gibson\gibsojo01,PG,29,Dallas Mavericks,17,231,9.5,.492,.474,.305,0.5,11.2,5.6,18.8,1.8,0.0,16.3,26.4,,-0.3,0.2,-0.1,-0.029,,-3.3,-2.2,-5.4,-0.2
184,Taj Gibson\gibsota01,PF,31,TOT,73,1887,15.1,.545,.020,.224,8.7,18.1,13.3,6.2,1.1,2.6,12.2,19.1,,1.5,2.2,3.7,.093,,-2.3,0.3,-2.0,0.0
185,Taj Gibson\gibsota01,PF,31,Chicago Bulls,55,1502,15.5,.549,.023,.225,8.6,19.2,13.8,6.5,0.9,2.7,11.7,19.2,,1.4,1.7,3.1,.099,,-1.9,0.5,-1.4,0.2
186,Taj Gibson\gibsota01,PF,31,Oklahoma City Thunder,18,385,13.2,.532,.008,.220,9.0,13.8,11.4,5.2,1.5,2.3,14.2,18.6,,0.1,0.4,0.6,.070,,-3.6,-0.4,-4.0,-0.2
187,Manu Ginobili\ginobma01,SG,39,San Antonio Spurs,65,1230,14.4,.531,.518,.248,2.7,11.0,6.9,21.2,3.3,1.1,15.6,20.4,,0.8,2.3,3.0,.118,,0.8,1.5,2.3,1.3
188,Rudy Gobert\goberru01,C,24,Utah Jazz,76,2588,23.2,.679,.002,.775,13.9,29.5,21.9,5.8,1.0,6.4,15.3,16.6,,7.7,5.7,13.4,.249,,1.3,4.6,6.0,5.2
189,Archie Goodwin\goodwar01,SG,22,TOT,10,117,20.5,.686,.242,.788,2.8,7.2,5.0,19.6,0.4,2.6,10.1,18.2,,0.5,0.1,0.5,.212,,1.7,-2.4,-0.6,0.0
190,Archie Goodwin\goodwar01,SG,22,New Orleans Pelicans,3,30,19.7,.798,.400,2.000,0.0,0.0,0.0,4.5,0.0,2.7,0.0,13.9,,0.2,0.0,0.2,.295,,2.2,-3.7,-1.5,0.0
191,Archie Goodwin\goodwar01,SG,22,Brooklyn Nets,7,87,20.7,.656,.214,.571,3.7,9.6,6.7,24.8,0.5,2.6,12.5,19.7,,0.3,0.0,0.3,.183,,1.6,-1.9,-0.4,0.0
192,Aaron Gordon\gordoaa01,SF,21,Orlando Magic,75,2132,14.1,.523,.314,.253,5.3,13.9,9.5,10.7,1.4,1.4,8.4,20.0,,1.6,1.6,3.3,.074,,-0.3,-0.3,-0.7,0.7
193,Eric Gordon\gordoer01,SG,28,Houston Rockets,71,2204,13.5,.563,.649,.170,1.3,7.9,4.6,12.8,1.0,1.4,10.2,22.1,,2.6,1.4,4.0,.087,,1.3,-2.4,-1.1,0.5
194,Marcin Gortat\gortama01,C,32,Washington Wizards,77,2425,15.1,.587,.003,.237,10.6,27.2,18.9,6.5,0.8,2.1,14.1,14.7,,3.4,2.8,6.2,.123,,-1.2,1.3,0.1,1.3
